ResponseID,Control_1,Control_2_1,Control_2_2,NeedforStructure_1,NeedforStructure_2,NeedforStructure_3,NeedforStructure_4,NeedforStructure_5,NeedforStructure_6,NeedforStructure_7,NeedforStructure_8,NeedforStructure_9,NeedforStructure_10,NeedforStructure_11,NeedforStructure_12,Att_Part1,Att_Part2,PolOrientation,RepDem,Condition,Dem_General_Q1,Dem_General_Q2,Dem_General_Q4,Dem_General_Q5,Dem_General_Q6,Dem_Age,Dem_Gender,Dem_Citizen,Dem_Ethnic,Dem_Race,Dem_MidEast,Dem_US,Dem_YearsInUS,Dem_News,Att_Q1,Att_Q2,Att_Q3,Att_Q4,Att_Q5,Rep_General_Q1,Rep_General_Q2,Rep_General_Q4,Rep_General_Q5,Rep_General_Q6,NeedforStructure,ScenarioGenScore,PolIdentStrength,NeedforStructure_3Recode,NeedforStructure_5Recode,NeedforStructure_7Recode,NeedforStructure_11Recode,ScenarioGen_Q1,ScenarioGen_Q2,ScenarioGen_Q4,ScenarioGen_Q5,ScenarioGen_Q6,ConditionNum
R_01Zwcey77DboKm5,7,7,1,5,5,7,6,5,5,5,3,1,7,3,2, ,yes,3,1,Inconsistent,3,6,5,2,1,36,2,1,2,6,2,1,36,6,1,1,1,1,2, , , , , ,3.833333333,-0.925721928,5,1,3,3,5,3,2,5,2,1,0
R_07Z9nT5W2mGUQF3,5,5,3,5,6,3,3,3,6,6,5,5,3,3,5, ,yes,6,2,Consistent,5,3,5,5,5,25,2,1,2,6,2,1,25,3,1,1,1,1,2, , , , , ,4.583333333,0.600347871,6,5,5,2,5,5,5,5,5,5,1
R_0ALFkAzTx9jII13,5,4,3,4,5,4,5,1,4,4,5,5,6,3,3, ,yes,7,2,Consistent,4,3,4,3,2,33,2,1,2,5,2,1,33,4,1,1,1,1,2, , , , , ,4.75,-0.293191314,7,4,7,4,5,4,5,4,3,2,1
R_0cbnBuBqYBjHZ0R,4,4,5,4,5,5,4,3,5,6,5,4,6,5,4, ,Yes,5,2,Inconsistent, , , , , ,25,1,1,2,6,2,1,26,4,1,1,1,1,2,4,5,5,2,3,4.166666667,-0.421244196,5,3,5,2,3,4,3,5,2,3,0
R_0GJlxUEOcvyUs1P,5,6,3,6,6,3,5,4,5,3,4,5,6,3,5, ,yes,6,2,Inconsistent, , , , , ,37,2,1,2,6,2,1,37,6,1,1,1,1,2,3,4,2,2,3,5.083333333,-0.74766435,6,5,4,5,5,3,4,2,2,3,0
R_0IFSakUhcicyNnr,5,5,4,5,5,4,5,4,5,2,4,5,5,4,5, ,yes,4,2,Inconsistent, , , , , ,31,2,1,1,6,2,1,31,5,1,1,1,1,2,3,5,3,2,2,4.75,-0.893244441,4,4,4,6,4,3,3,3,2,2,0
R_0PqjTHq2ioTvoJz,7,7,1,3,3,5,3,5,3,5,3,3,3,3,3, ,yes,1,1,Inconsistent,4,5,5,4,4,45,1,1,2,6,2,2,45,7,1,1,1,1,2, , , , , ,3.166666667,-0.022485322,7,3,3,3,5,4,3,5,4,4,0
R_0qbifVDpkfZNRrr,4,5,4,5,5,4,6,2,6,2,5,7,7,3,6, ,yes,6,2,Inconsistent, , , , , ,61,2,1,2,6,2,1,61,4,1,1,1,1,2,4,4,3,2,2,5.666666667,-0.660532046,6,4,6,6,5,4,4,3,2,2,0
R_0TyPineM1r0cDlL,5,5,3,6,6,3,4,3,5,3,6,6,6,2,6, ,yes,6,2,Inconsistent, , , , , ,70,1,1,2,6,2,1,70,5,1,1,1,1,2,3,5,3,3,4,5.5,-0.490041001,6,5,5,5,6,3,3,3,3,4,0
R_0U2buU1nmCbFEFH,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5, ,yes,6,1,Consistent, , , , , ,35,1,1,1,6,2,1,35,3,1,1,1,1,2,7,2,7,6,6,4.5,1.436498613,2,3,5,3,3,7,6,7,6,6,1
R_0Uo3q241hg6xbFL,3,4,5,5,7,5,6,3,6,5,1,5,6,5,6, ,yes,7,2,Inconsistent, , , , , ,51,2,1,2,6,2,1,51,6,1,1,1,1,2,3,4,5,2,4,4.666666667,-0.272473871,7,3,5,3,3,3,4,5,2,4,0
R_0v1sTkMsBpGSN2h,6,6,1,6,5,4,6,4,6,2,3,6,6,4,4, ,yes,6,2,Consistent,6,4,7,6,6,38,1,1,2,6,2,1,38,7,1,1,1,1,2, , , , , ,5,1.080986193,6,4,4,6,4,6,4,7,6,6,1
R_0w8wYxOEIWxAZbj,5,6,2,5,5,3,5,3,5,3,6,6,5,2,5, ,yes,5,2,Inconsistent, , , , , ,39,1,1,2,6,2,1,39,6,1,1,1,1,2,5,5,6,3,3,5.25,-0.06679112,5,5,5,5,6,5,3,6,3,3,0
R_10CM3tS9lH78kOh,5,5,3,6,6,2,6,2,6,6,4,7,7,1,6, ,yes,7,2,Consistent,6,2,7,6,6,40,2,1,2,6,2,1,40,7,1,1,1,1,2, , , , , ,5.75,1.326586244,7,6,6,2,7,6,6,7,6,6,1
R_10pzFTxH1FsAs76,7,7,1,6,6,2,6,3,6,6,4,7,6,3,4, ,yes,2,1,Inconsistent,1,7,3,1,1,32,1,1,2,6,2,1,32,7,1,1,1,1,2, , , , , ,5.25,-1.625990002,6,6,5,2,5,1,1,3,1,1,0
R_10qNXbcdqxqcuLZ,7,6,2,2,2,4,5,5,6,5,3,6,6,5,2, ,yes,6,2,Inconsistent, , , , , ,30,1,1,2,6,2,1,30,3,1,1,1,1,2,3,2,3,3,4,3.75,-0.121640924,6,4,3,3,3,3,6,3,3,4,0
R_10rbgJcIBq5zwuy,5,5,3,5,5,4,4,3,4,5,5,5,3,3,4, ,yes,5,2,Inconsistent, , , , , ,34,2,1,2,6,2,1,34,3,1,1,1,1,2,4,5,4,3,3,4.333333333,-0.402908697,5,4,5,3,5,4,3,4,3,3,0
R_10TyvVPefPADI2e,6,6,2,6,6,2,3,1,4,5,6,6,3,2,5, ,yes,2,3, , , , , , ,66,1,1,2,6,2,1,61,6,1,1,1,1,2,2,6,2,2,2,5.083333333, , ,6,7,3,6, , , , , , 
R_10v0wJtaC1MLJAJ,7,7,1,1,1,7,1,7,1,1,1,1,1,7,1, ,yes,7,2,Inconsistent, , , , , ,52,2,1,2,6,2,1,51,3,1,1,1,1,2,1,1,1,1,1,1.5,-1.115395056,7,1,1,7,1,1,7,1,1,1,0
R_11gRhUKLIxaE3Au,6,6,6,6,5,4,7,2,6,6,4,6,7,5,6, ,yes,5,2,Inconsistent, , , , , ,34,1,1,1,6,2,1,34,6,1,1,1,1,2,5,5,3,3,2,5.166666667,-0.541981599,5,4,6,2,3,5,3,3,3,2,0
R_11ijMAZQrMLjso0,6,6,2,2,2,6,5,3,6,4,3,3,6,3,4, ,yes,3,3, ,5,3,4,3,2,32,1,1,2,6,2,1,32,5,1,1,1,1,2, , , , , ,3.916666667, , ,2,5,4,5,5,5,4,3,2, 
R_12a1ZXwCyC1ince,7,4,5,5,4,5,6,5,5,5,6,5,6,6,5,5, ,3,2,Inconsistent, , , , , ,28,1,1,1,6,1,1,5 years,7,1,1,1,1,1,5,6,5,3,2,4.416666667,-0.438576418,3,3,3,3,2,5,2,5,3,2,0
R_12aGC8En3lbrUJG,4,4,3,5,5,6,6,5,7,3,4,3,5,4,4, ,yes,3,1,Inconsistent,2,3,4,4,3,46,1,1,2,6,2,1,46,6,1,1,1,1,2, , , , , ,4.416666667,-0.245695281,5,2,3,5,4,2,5,4,4,3,0
R_12Av21lJ2TUbHBb,5,5,6,6,3,5,5,5,5,5,4,5,5,4,4, ,yes,3,1,Consistent, , , , , ,36,1,1,2,6,2,1,36,6,1,1,1,1,2,5,5,6,3,3,4.166666667,-0.06679112,5,3,3,3,4,5,3,6,3,3,1
R_12bz8gcqzU2Na3u,4,4,5,5,6,4,4,3,4,5,4,6,4,3,5, ,yes,6,2,Inconsistent, , , , , ,24,2,1,2,6,2,1,24,7,1,1,1,1,2,2,3,3,2,4,4.583333333,-0.485791422,6,4,5,3,5,2,5,3,2,4,0
R_12eQlrtgRYDZlil,3,2,2,6,7,5,5,2,5,5,3,7,6,2,6, ,yes,4,1,Inconsistent,5,5,5,4,4,31,1,1,2,6,2,1,31,4,1,1,1,1,2, , , , , ,5.25,0.087427048,4,3,6,3,6,5,3,5,4,4,0
R_12gr74aD0AM9TgC,6,7,3,4,4,5,6,4,6,5,2,2,6,4,4, ,yes,2,1,Inconsistent,1,1,2,3,2,29,1,1,2,6,2,1,29,5,1,1,1,1,2, , , , , ,4,-0.603533578,6,3,4,3,4,1,7,2,3,2,0
R_12nj02OQOIxMk50,2,3,6,7,7,2,7,1,7,1,6,6,7,2,7, ,yes,4,3, , , , , , ,28,2,1,2,6,2,1,28,7,1,1,1,1,2,5,7,7,4,5,6.666666667, , ,6,7,7,6, , , , , , 
R_12rRqpai7b8GMoD,6,5,3,6,7,3,6,2,6,2,4,6,4,7,5, ,yes,7,3, , , , , , ,39,1,1,2,6,2,1,39,6,1,1,1,1,2,6,5,7,5,6,5.166666667, , ,5,6,6,1, , , , , , 
R_12RWVKQuDMoncWg,7,7,1,3,3,5,6,5,4,3,4,5,6,3,3, ,yes,2,1,Inconsistent,3,3,4,1,3,41,1,1,2,6,2,1,41,7,1,1,1,1,2, , , , , ,4.166666667,-0.53009722,6,3,3,5,5,3,5,4,1,3,0
R_1BRioYaxOq2rNVW,3,3,5,2,2,6,3,6,3,6,2,4,3,3,3, ,yes,6,2,Consistent,7,2,6,6,5,28,2,1,2,5,2,1,28,6,1,1,1,1,2, , , , , ,2.75,1.187513341,6,2,2,2,5,7,6,6,6,5,1
R_1BSpbcmWsyRcust,5,5,2,7,7,1,6,1,7,1,7,7,7,1,7, ,yes,2,1,Inconsistent,3,6,7,3,3,51,1,1,2,6,2,1,51,6,1,1,1,2,2, , , , , ,6.916666667,-0.296313281,6,7,7,7,7,3,2,7,3,3,0
R_1CdA6ZmF5j3Fzif,5,6,2,6,6,2,6,2,6,2,5,6,6,2,6, ,yes,7,2,Consistent,6,3,6,5,5,28,1,1,2,6,2,1,28,5,1,1,1,1,2, , , , , ,5.916666667,0.823362843,7,6,6,6,6,6,5,6,5,5,1
