"","Finished","Duration (in seconds)","Gender","Age","Serious_check","recall_score","condition","contradiction_1","contradiction_2","contradiction_3","contradiction_4","contradiction_5","contradiction_6","confusion","advancement"
"1",1,428,2,50,1,7,"Block_3_Qualified_Conflict",5,5,4,4,4,5,4,-1
"2",1,364,2,23,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"3",1,384,1,28,1,7,"Block_2_Generic_Consistent",1,2,1,1,4,3,1,1
"4",1,632,2,24,1,7,"Block_2_Generic_Consistent",3,4,2,2,2,1,4,-1
"5",1,430,2,26,1,7,"Block_1_Generic_Conflict",4,4,4,4,4,4,4,0
"6",1,543,2,27,1,7,"Block_4_Qualified_Consistent",1,3,1,4,1,1,2,0
"7",1,363,2,19,1,7,"Block_2_Generic_Consistent",1,1,5,1,1,1,5,-1
"8",1,354,1,21,1,6,"Block_1_Generic_Conflict",4,4,2,4,3,4,4,0
"9",1,377,2,19,1,7,"Block_3_Qualified_Conflict",4,5,2,3,2,5,5,-1
"10",1,401,2,57,1,7,"Block_1_Generic_Conflict",5,4,5,3,5,3,5,-1
"11",1,590,2,38,1,7,"Block_4_Qualified_Consistent",1,2,1,4,1,1,1,0
"12",1,473,1,47,1,7,"Block_2_Generic_Consistent",2,3,2,3,2,2,3,0
"13",1,432,2,29,1,6,"Block_4_Qualified_Consistent",2,2,2,2,2,4,5,-1
"14",1,534,2,32,1,7,"Block_4_Qualified_Consistent",1,4,2,3,1,2,2,0
"15",1,339,1,40,1,7,"Block_2_Generic_Consistent",1,1,1,4,3,1,2,0
"16",1,371,2,36,1,7,"Block_3_Qualified_Conflict",5,5,5,4,5,5,5,0
"17",1,407,2,32,1,7,"Block_4_Qualified_Consistent",4,4,4,4,3,2,4,0
"18",1,352,1,18,1,7,"Block_1_Generic_Conflict",3,4,5,5,5,5,4,0
"19",1,482,1,23,1,7,"Block_3_Qualified_Conflict",5,5,5,3,3,4,5,0
"20",1,380,1,42,1,7,"Block_2_Generic_Consistent",2,1,4,3,4,2,4,0
"21",1,437,2,32,1,7,"Block_1_Generic_Conflict",2,4,5,4,4,5,5,0
"23",1,372,1,24,1,6,"Block_3_Qualified_Conflict",5,3,1,5,1,2,5,0
"24",1,545,1,19,1,7,"Block_1_Generic_Conflict",5,1,4,2,5,2,5,1
"25",1,374,2,55,1,7,"Block_1_Generic_Conflict",2,4,4,5,4,5,5,0
"26",1,424,1,19,1,6,"Block_4_Qualified_Consistent",1,5,4,2,2,4,4,0
"28",1,669,2,31,1,7,"Block_2_Generic_Consistent",2,4,2,3,2,2,4,0
"29",1,652,2,28,1,7,"Block_2_Generic_Consistent",1,3,2,3,1,1,2,0
"30",1,394,1,23,1,7,"Block_4_Qualified_Consistent",3,2,2,3,3,2,4,0
"31",1,391,2,21,1,7,"Block_2_Generic_Consistent",2,2,3,2,2,3,3,0
"32",1,455,2,21,1,7,"Block_3_Qualified_Conflict",5,5,4,2,5,5,5,-1
"34",1,388,2,19,1,7,"Block_1_Generic_Conflict",3,4,5,3,4,3,4,0
"35",1,372,2,23,1,7,"Block_3_Qualified_Conflict",4,5,4,3,4,4,5,-1
"36",1,381,2,33,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"37",1,724,2,69,1,7,"Block_3_Qualified_Conflict",5,5,1,5,1,5,4,0
"38",1,460,2,33,1,7,"Block_4_Qualified_Consistent",1,2,1,4,1,2,4,0
"39",1,449,2,30,1,7,"Block_2_Generic_Consistent",1,5,4,2,3,1,4,0
"40",1,396,1,21,1,7,"Block_4_Qualified_Consistent",1,3,1,3,1,1,4,0
"41",1,446,2,19,1,6,"Block_2_Generic_Consistent",1,3,4,3,3,1,3,0
"42",1,510,2,20,1,7,"Block_3_Qualified_Conflict",5,5,5,3,2,2,5,0
"43",1,492,1,68,1,7,"Block_4_Qualified_Consistent",1,1,4,5,2,3,3,0
"44",1,513,2,48,1,7,"Block_1_Generic_Conflict",1,4,5,5,5,5,4,0
"45",1,698,2,35,1,7,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
"46",1,531,1,44,1,7,"Block_2_Generic_Consistent",1,1,1,1,1,1,2,1
"47",1,796,2,55,1,7,"Block_4_Qualified_Consistent",2,2,4,3,2,2,5,0
"48",1,950,2,32,1,7,"Block_3_Qualified_Conflict",5,5,4,3,4,3,4,1
"49",1,810,2,58,1,6,"Block_4_Qualified_Consistent",1,2,3,5,1,2,4,0
"50",1,395,2,51,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"51",1,670,2,50,1,7,"Block_3_Qualified_Conflict",4,5,5,5,5,5,4,0
"53",1,674,1,25,1,5,"Block_3_Qualified_Conflict",4,5,4,3,4,2,4,-1
"54",1,353,2,27,1,7,"Block_3_Qualified_Conflict",5,5,5,2,5,5,1,0
"55",1,316,2,35,1,7,"Block_2_Generic_Consistent",1,2,5,4,1,1,4,1
"56",1,343,2,30,1,7,"Block_4_Qualified_Consistent",3,1,1,5,1,1,3,1
"57",1,344,2,64,1,7,"Block_1_Generic_Conflict",4,5,5,4,5,5,4,0
"58",1,355,2,22,1,6,"Block_2_Generic_Consistent",1,1,1,3,2,1,1,0
"59",1,329,1,18,1,7,"Block_1_Generic_Conflict",5,5,1,3,5,4,4,0
"60",1,378,2,26,1,6,"Block_1_Generic_Conflict",5,3,4,3,2,4,4,-1
"61",1,367,1,35,1,7,"Block_3_Qualified_Conflict",4,4,4,4,4,5,4,0
"62",1,355,1,59,1,7,"Block_4_Qualified_Consistent",2,2,3,4,1,3,4,0
"63",1,336,1,35,1,7,"Block_3_Qualified_Conflict",4,5,5,5,5,5,5,0
"64",1,349,2,32,1,7,"Block_1_Generic_Conflict",4,5,4,4,4,5,4,1
"65",1,372,2,25,1,7,"Block_1_Generic_Conflict",4,3,2,3,4,3,4,0
"66",1,371,1,19,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,4,-1
"67",1,391,2,28,1,7,"Block_2_Generic_Consistent",1,1,1,1,1,1,4,0
"68",1,378,2,19,1,7,"Block_1_Generic_Conflict",4,4,4,1,4,4,4,-1
"69",1,381,2,24,1,7,"Block_2_Generic_Consistent",1,2,1,3,1,1,2,0
"70",1,392,2,19,1,7,"Block_3_Qualified_Conflict",5,4,4,2,5,5,5,0
"71",1,410,1,32,1,6,"Block_4_Qualified_Consistent",1,1,2,3,4,1,5,-1
"72",1,392,2,24,1,7,"Block_1_Generic_Conflict",5,4,5,4,5,5,5,-1
"73",1,382,1,24,1,5,"Block_2_Generic_Consistent",1,2,2,2,1,3,5,0
"74",1,338,1,37,1,7,"Block_4_Qualified_Consistent",1,4,4,4,2,1,2,0
"75",1,307,2,43,1,7,"Block_4_Qualified_Consistent",3,2,1,1,3,2,4,0
"76",1,383,1,30,1,7,"Block_4_Qualified_Consistent",2,2,2,2,4,2,4,1
"77",1,390,2,47,1,7,"Block_2_Generic_Consistent",1,1,1,5,1,1,2,0
"78",1,340,1,28,1,7,"Block_4_Qualified_Consistent",1,1,2,1,2,1,2,1
"79",1,399,2,41,1,7,"Block_3_Qualified_Conflict",4,5,3,3,5,5,4,0
"80",1,360,1,22,1,7,"Block_1_Generic_Conflict",5,5,5,3,2,4,5,1
"81",1,381,2,31,1,5,"Block_2_Generic_Consistent",1,4,4,2,2,5,4,0
"82",1,379,2,33,1,6,"Block_3_Qualified_Conflict",5,5,5,4,4,4,5,-1
"83",1,397,1,25,1,7,"Block_3_Qualified_Conflict",2,2,1,4,4,3,5,0
"84",1,434,2,29,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"85",1,427,2,22,1,7,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
"86",1,365,2,30,1,7,"Block_4_Qualified_Consistent",2,2,4,4,4,3,4,0
"87",1,400,1,30,1,7,"Block_2_Generic_Consistent",3,1,4,4,1,1,3,1
"88",1,395,2,41,1,7,"Block_1_Generic_Conflict",4,4,4,4,1,1,3,0
"89",1,367,2,31,1,7,"Block_4_Qualified_Consistent",3,1,1,3,1,3,4,1
"90",1,326,2,26,1,7,"Block_4_Qualified_Consistent",1,1,1,1,1,1,5,0
"91",1,383,2,28,1,7,"Block_4_Qualified_Consistent",2,2,2,4,3,2,4,-1
"92",1,350,2,20,1,7,"Block_3_Qualified_Conflict",5,5,5,5,5,5,5,0
"93",1,364,1,20,1,6,"Block_2_Generic_Consistent",1,1,1,4,4,1,2,1
"94",1,359,2,24,1,7,"Block_4_Qualified_Consistent",2,1,2,3,1,1,4,0
"95",1,341,2,45,1,4,"Block_3_Qualified_Conflict",5,5,5,5,5,5,4,0
"96",1,431,1,19,1,7,"Block_1_Generic_Conflict",2,5,5,4,5,5,5,-1
"97",1,449,2,43,1,7,"Block_4_Qualified_Consistent",1,1,1,5,1,2,4,0
"98",1,400,1,22,1,7,"Block_4_Qualified_Consistent",2,2,4,5,3,1,4,-1
"99",1,384,2,60,1,7,"Block_3_Qualified_Conflict",5,5,4,4,3,5,4,0
"100",1,408,1,30,1,7,"Block_1_Generic_Conflict",4,4,4,4,4,4,5,1
"102",1,404,2,38,1,7,"Block_1_Generic_Conflict",5,5,5,5,5,5,5,0
"103",1,357,2,22,1,7,"Block_1_Generic_Conflict",5,5,5,4,5,5,5,-1
