Q62,immigration_a,immigration_b,abortion_a,abortion_b,vote_a,vote_b,tax_a,tax_b,torture_a,torture_b,affirmaction_a,affirmaction_b,military_a,military_b,covidgov_a,covidgov_b,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q37_11,Q37_12,Q37_13,Q37_14,Q37_15,Q37_16,Q37_17,Q37_18,Q37_19,Q37_20,Q8,Q10,Q12,Q39,Q40,Q14,Q16,Q18,Q20,Q62.1,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q58,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,meanD,meanA,meanD_c,meanA_c,immigration_a_c,abortion_a_c,vote_a_c,tax_a_c,torture_a_c,affirmaction_a_c,military_a_c,covidgov_a_c,PO_c
1,2,2,5,2,2.3333,2,2,2,2.3333,1,3.6667,2,2,1,4,3,4,1,3,1,3,5,3,4,2,1,4,5,1,2,6,2,7,1,2,5,4,6,1,4,2,5,1,2,83,5,5,5,7,7,2,IT SEEMED WELL DESIGNED,5eb3308c-7aa0-c8ea-3f20-049a7b7b571e,83,2,2,1,1,2,1,4,92346,3.1,2.9166625,-1.3186315682279077,0.2561299782784401,-0.6482269503546099,1.9602836879432624,0.5657451202263082,-0.22946175637393784,-0.13033555240793193,0.8468039603960396,-0.9108910891089108,0.5963172804532579,-2.9844192634560907
1,1,5,1,5,1,4,1,4,1,1,1,5,1,5,1,5,9,1,9,1,1,9,1,9,8,1,2,9,3,8,9,1,9,1,1,9,1,4,4,7,7,7,2,1,41,5,1,7,7,1,1,i like to take this study,5eb33261-9432-72d7-d0fa-cd4c5d6c2bd7,41,1,20,1,1,7,10,1,13207,5.05,1,0.631368431772092,-1.66053252172156,-1.6482269503546099,-2.0397163120567376,-0.7675548797736917,-1.2294617563739378,-1.4636355524079319,-1.8198960396039605,-1.9108910891089108,-2.403682719546742,0.015580736543909346
1,1,5,1,5,1,5,1,1,2.3333,1,2.3333,1,1,1,3,1,6,1,3,4,5,6,5,5,2,5,3,4,2,2,4,5,7,5,5,2,4,7,1,1,1,4,2,2,55,5,6,7,7,7,1,,5eb32f51-7e77-22ff-1d10-a4d205eacbc1,55,2,3,1,1,2,10,3,34761,4.05,1.5833249999999999,-0.368631568227908,-1.0772075217215602,-1.6482269503546099,-2.0397163120567376,-0.7675548797736917,-1.2294617563739378,-0.13033555240793193,-0.4865960396039606,-1.9108910891089108,-0.40368271954674206,-2.9844192634560907
1,1,3,2,4,1,5,3,1,2.3333,1,2.3333,1,5,3,3,3,5,1,4,2,2,4,2,6,4,2,1,6,2,5,3,3,2,1,4,3,4,2,4,4,4,6,3,2,35,5,5,6,4,4,2,No further comments,5eb34849-17f5-da8f-aceb-40cd0d04ad66,35,2,1,1,1,6,4,4,83617,3.1,2.458325,-1.3186315682279077,-0.2022075217215602,-1.6482269503546099,-1.0397163120567376,-0.7675548797736917,0.7705382436260622,-0.13033555240793193,-0.4865960396039606,2.089108910891089,-0.40368271954674206,0.015580736543909346
1,1,5,2,2,1,3,3,3,5,5,1,5,3,4,3,3,5,4,5,5,5,5,4,6,5,4,3,4,5,4,6,6,5,5,5,3,5,4,4,4,4,6,2,2,35,5,7,6,6,6,5,No,5eb3582e-3271-723a-ae55-42a6e7b9b0d3,35,2,11,1,1,6,9,3,30022,4.7,2.375,0.28136843177209236,-0.2855325217215601,-1.6482269503546099,-1.0397163120567376,-0.7675548797736917,0.7705382436260622,2.536364447592068,-1.8198960396039605,0.08910891089108919,-0.40368271954674206,0.015580736543909346
1,5,5,4,3,5,5,2,2,2.3333,2,5,5,4,2,3,2,3,6,4,7,1,8,7,6,4,6,6,7,7,3,1,6,1,7,7,1,4,3,5,5,5,6,1,2,24,4,7,6,7,7,1,,5eb35853-9386-2a14-45e7-22514bf43a08,24,2,2,15,2,6,2,4,94541,4.9,3.7916625,0.48136843177209254,1.13112997827844,2.35177304964539,0.9602836879432624,3.2324451202263083,-0.22946175637393784,-0.13033555240793193,2.1801039603960395,1.0891089108910892,-0.40368271954674206,1.0155807365439093
1,2,3,3,3,2.3333,1,2,1,2.3333,3,3.6667,3,3,2,3,3,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,6,5,1,4,1,2,2,2,5,3,2,53,4,4,6,7,7,1,,5eb35882-23cc-a949-7767-a0fa34361b38,53,2,12,1,1,4,3,1,11727,4.55,2.6666625,0.131368431772092,0.006129978278440085,-0.6482269503546099,-0.039716312056737646,0.5657451202263082,-0.22946175637393784,-0.13033555240793193,0.8468039603960396,0.08910891089108919,-0.40368271954674206,-1.9844192634560907
1,1,2,2,3,1,2,3,5,2.3333,1,1,2,2,3,3,4,2,8,4,6,2,9,9,8,4,1,6,9,8,9,6,6,3,9,7,4,2,5,2,1,1,6,1,2,32,3,3,7,2,5,5,This survey was great ,5eb358c8-ce11-d138-e720-965b07b3ebfc,33,2,6,2,1,6,1,3,27909,6,1.9166625,1.5813684317720922,-0.7438700217215601,-1.6482269503546099,-1.0397163120567376,-0.7675548797736917,0.7705382436260622,-0.13033555240793193,-1.8198960396039605,-0.9108910891089108,-0.40368271954674206,-1.9844192634560907
1,2,2,4,3,2.3333,3,2,3,2.3333,2,1,1,3,3,4,3,6,5,8,5,4,5,8,7,5,5,5,6,5,5,6,6,5,5,3,5,1,4,4,4,4,6,2,2,25,2,4,4,4,4,4,No,5eb35977-2e7b-80a3-1117-29bde4287ea8,25,2,19,4,1,6,9,4,94551,5.45,2.583325,1.0313684317720924,-0.0772075217215602,-0.6482269503546099,0.9602836879432624,0.5657451202263082,-0.22946175637393784,-0.13033555240793193,-1.8198960396039605,0.08910891089108919,0.5963172804532579,0.015580736543909346
1,3,1,5,1,1,1,1,2,2.3333,3,3.6667,3,5,4,3,2,1,1,5,2,1,5,3,6,7,3,1,6,5,5,3,3,2,3,5,1,1,4,4,4,5,5,1,2,47,5,4,7,7,4,4,Good survey ,5eb35852-3d77-05fa-fa82-fadc748d1459,47,2,12,1,1,4,2,1,10021,3.4,3,-1.018631568227908,0.3394674782784399,0.35177304964539013,1.9602836879432624,-0.7675548797736917,-1.2294617563739378,-0.13033555240793193,0.8468039603960396,2.089108910891089,-0.40368271954674206,0.015580736543909346
