participant,sex,age,relat,income,DS_Inst,DS1,DS2,DS3,DS4,DS5,DS6,DS7,Target,Value,Alex_inst,Alex_height,Alex_weight,Alex_age,Alex_wealth,Alex_intelligent,Alex_attractive,Alex_kind,Alex_honest,Alex_care,comfort_inst,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,WTR_INST,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_Exclude
599,2,28,1,10,1,7,6,7,5,7,6,6,36,0,1,7,6,11,11,10,9,11,11,11,1,7,,,,7,,,,,,1,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1
542,2,37,1,7,1,5,7,5,6,5,6,5,36,1,1,7,7,11,10,9,10,8,10,11,1,7,7,5,7,7,6,6,6,7,6,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,1
685,1,37,1,6,1,7,7,7,7,7,7,7,18,0,1,8,5,14,11,11,11,11,11,11,1,7,7,,7,7,7,7,7,7,,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,1
778,2,77,1,4,1,7,7,5,7,7,7,7,19,1,1,10,9,16,9,10,9,11,11,11,1,1,2,3,1,2,1,2,1,1,2,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
484,2,73,2,4,1,4,6,4,4,4,4,4,23,0,1,9,5,4,8,10,9,3,4,8,1,1,2,1,2,2,2,4,2,3,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
23,1,70,1,7,1,3,3,2,5,4,2,5,29,0,1,5,5,6,6,4,6,2,3,6,1,3,3,3,2,3,2,4,3,2,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
643,1,70,1,5,1,4,5,3,6,5,2,7,15,1,1,7,4,5,5,7,8,10,10,11,1,3,3,6,2,3,4,5,5,3,5,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
276,2,69,2,2,1,7,5,4,7,4,7,7,4,1,1,11,9,13,9,9,9,11,11,11,1,1,1,6,1,5,3,7,4,3,5,1,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
360,1,69,1,10,1,7,6,4,6,5,5,6,9,1,1,12,12,,8,8,7,9,9,9,1,2,3,3,1,3,3,3,2,2,3,1,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,1.55,0,1.15,0,0.75,0,0,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0,0,0.15,-0.05,-0.25,0
33,2,68,2,4,1,6,7,4,4,7,6,6,14,0,1,10,8,11,4,5,6,1,1,7,1,2,1,1,2,1,1,3,2,3,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0.55,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.45,0
213,1,68,1,7,1,4,4,4,4,4,3,4,11,1,1,11,8,6,5,10,8,10,10,10,1,3,3,6,3,5,5,6,5,5,5,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
430,2,68,2,1,1,7,4,4,5,6,5,6,25,1,1,6,7,27,7,10,6,11,9,10,1,3,1,2,2,2,3,2,1,1,4,1,0,0,0,0,0,0,0,0.15,-0.05,-0.45,0,0,0,0,0,0.55,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.45,0
459,2,68,2,2,1,4,1,1,2,1,1,1,16,0,1,11,7,9,7,7,10,2,2,11,1,1,1,1,1,7,7,7,7,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
696,2,68,2,9,1,5,3,3,5,4,3,4,30,1,1,6,4,9,7,9,7,9,10,10,1,4,2,6,3,5,5,6,5,4,5,1,1.55,0,0,0,0,0,0.35,0.15,-0.05,-0.25,1.55,1.35,0,0,0.75,0.55,0,0.15,-0.05,-0.25,0,1.35,0,0.95,0,0.55,0,0.15,-0.05,-0.25,0
797,2,68,2,13,1,7,6,4,2,6,6,4,10,0,1,11,8,14,5,5,3,1,1,3,1,1,3,4,1,1,1,5,2,1,1,1,0,0,0,0,0,0.55,0,0.15,-0.05,-0.25,1.55,0,0,0.95,0,0,0.35,0.15,0,-0.25,0,0,0,0,0.75,0,0,0.15,-0.05,-0.25,0
204,1,67,1,7,1,5,4,4,4,5,4,4,33,0,1,9,5,5,8,8,4,2,1,3,1,1,3,3,1,3,1,2,3,2,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,1.55,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
315,2,67,1,20,1,7,4,3,6,4,7,6,38,0,1,10,6,22,9,9,9,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
