country,Relational Mobility,RM,Interpolated,Migration,MedianAge_2020_UN,GDP_2018,Pop_Density2020_UN,Population_2020_UN,Region,Tourism,PercUrban
Algeria,-0.073280989,,Yes,-0.239,28.521,15481.78762,18.41134759,43333,Middle East & North Africa,2657000,72.629
Andorra,0.027464207,,Yes,#N/A,#N/A,,164.393617,77,Europe & Central Asia,3042000,88.062
Argentina,0.004704182,,Yes,0.109,31.532,20610.56855,16.51475944,45510,Latin America & Caribbean,6942000,91.87
Armenia,-0.070576218,,Yes,-1.697,35.374,10343.17559,104.0826835,2939,Europe & Central Asia,1652000,63.149
Australia,0.138,0.138,No,6.403,37.875,51663.36509,3.319302943,25398,East Asia & Pacific,9246000,86.012
Azerbaijan,-0.075973875,,Yes,0.121,32.333,18044.13678,122.6641704,10100,Europe & Central Asia,2633000,55.68
Bahrain,-0.064345418,,Yes,31.105,32.456,47303.04851,2238.925,#N/A,Middle East & North Africa,12045000,89.287
Belarus,-0.02745797,,Yes,0.924,40.335,19994.80408,46.56902568,9415,Europe & Central Asia,11501600,78.595
Brazil,0.203,0.203,No,0.102,33.481,16096.40096,25.43142481,213863,Latin America & Caribbean,6621000,86.569
Bulgaria,-0.042116683,,Yes,-0.679,44.596,21960.36994,64.00557296,6941,Europe & Central Asia,9273000,75.008
Burkina Faso,-0.055688466,,Yes,-1.282,17.551,1984.884306,76.40086988,20903,Sub-Saharan Africa,144000,29.358
Canada,0.175,0.175,No,6.562,41.124,48130.25597,4.150449826,37603,North America,21134000,81.411
Chile,0.109,0.109,No,6.024,35.339,25222.52778,25.71000172,18473,Latin America & Caribbean,5723000,87.564
China,-0.044876941,,Yes,-0.245,38.422,18236.61298,153.3118263,1424548,East Asia & Pacific,62900000,59.152
Colombia,0.199,0.199,No,4.162,31.307,15012.93027,45.86109419,50220,Latin America & Caribbean,3904000,80.778
Cyprus,-0.004843675,,Yes,4.222,37.25,,130.6667749,1207,Europe & Central Asia,3939000,66.81
Ecuador,-0.001506426,,Yes,2.15,27.93,11734.38739,71.03825093,17336,Latin America & Caribbean,2535000,63.821
Egypt,-0.194,-0.194,No,-0.391,24.606,12412.3094,102.8021528,102941,Middle East & North Africa,11196000,42.704
Estonia,-0.024,-0.024,No,2.961,42.424,35973.77646,31.29367775,1301,Europe & Central Asia,3234000,68.88
Ethiopia,-0.043032984,,Yes,0.278,19.466,2022.137961,114.963583,112759,Sub-Saharan Africa,849000,20.763
Finland,0.012821508,,Yes,2.54,43.128,48416.93603,18.23264339,5580,Europe & Central Asia,3224000,85.382
France,0.213,0.213,No,0.563,42.338,45342.39574,119.2086157,65721,Europe & Central Asia,89322000,80.444
Georgia,-0.078304107,,Yes,-2.496,38.268,12004.57383,57.40646136,3899,Europe & Central Asia,4757000,58.632
Germany,-0.011,-0.011,No,6.569,45.744,53074.54012,240.3716577,82540,Europe & Central Asia,38881000,77.312
Ghana,-0.071070988,,Yes,-0.339,21.507,4746.684995,136.560363,30734,Sub-Saharan Africa,897000,56.06
United Kingdom,0.044,0.044,No,3.898,40.467,45973.5735,280.6018435,67334,Europe & Central Asia,36316000,83.398
Guatemala,-0.025226711,,Yes,-0.539,22.881,8462.374008,167.185209,17911,Latin America & Caribbean,1781000,51.054
Hong Kong,-0.338,-0.338,No,3.992,44.79,64596.56385,7139.988571,7548,East Asia & Pacific,29263000,100
Hungary,-0.387,-0.387,No,0.617,43.336,31102.50275,106.7088258,9621,Europe & Central Asia,17552000,71.351
India,-0.031967221,,Yes,-0.396,28.426,7762.88177,464.1494102,1383198,South Asia,17423000,34.03
Indonesia,-0.080906472,,Yes,-0.372,29.744,13079.6193,150.987056,272223,East Asia & Pacific,15810000,55.325
Iran,-0.100389694,,Yes,-0.677,31.972,,51.57529889,83587,Middle East & North Africa,7295000,74.898
Iraq,-0.101894455,,Yes,0.207,21.04,17435.85393,92.61029425,41503,Middle East & North Africa,892000,70.473
