Participant ID,Gender,Age,LETHAVERAGE.T1,LETHAVERAGE.T2,LethDiff,SCAVERAGE.T1,SCAVERAGE.T2,SCdiff,EXTRAVERSION,SPANE.P,SPANE.N,SPANE.B,SocialDistancing,SixFeet
1,Woman,25,4.8,5.7,0.9,3.21053,2.94737,-0.26316,6.25,8,27,-19,1,0
2,Woman,20,3.4,5,1.6,4,4.47368,0.47368,5.25,18,20,-2,1,3
3,Man,23,1.8,2.4,0.6,4.94737,4,-0.94737,4.25,18,15,3,1,0
4,Man,26,1.2,5.4,4.2,4.47368,2.36842,-2.10526,2.66667,17,25,-8,1,3
5,Woman,19,1.9,3.8,1.9,3.68421,3.84211,0.1579,2.91667,18,15,3,1,2
6,Woman,22,5.1,5.8,0.7,1.84211,2.21053,0.36842,4.16667,16,26,-10,1,0
7,Woman,20,2.5,2.8,0.3,5.36842,5.26316,-0.10526,4.33333,27,15,12,1,1
8,Woman,22,3.9,3.1,-0.8,4,4.10526,0.10526,5.91667,18,23,-5,1,2
9,Woman,22,1.4,4.4,3,4.89474,4.68421,-0.21053,4.41667,17,16,1,1,0
10,Woman,21,2,1.1,-0.9,5.68421,5.63158,-0.05263,6.16667,24,18,6,1,0
11,Woman,21,4.2,5.4,1.2,3.63158,2.89474,-0.73684,3.66667,16,24,-8,1,0
12,Woman,20,2.4,2.5,0.1,2.47368,4,1.52632,2.91667,20,18,2,1,2
13,Woman,21,1.2,1.8,0.6,5.36842,4.73684,-0.63158,5.33333,25,12,13,1,0
14,Woman,22,2,2.1,0.1,3.84211,4.68421,0.8421,5.08333,28,15,13,1,0
15,Woman,21,2.5,2.6,0.1,4.42105,3.68421,-0.73684,4.25,21,23,-2,1,0
16,Woman,21,4,5.4,1.4,2.16667,3,0.83333,2,17,21,-4,1,0
17,Woman,22,1.5,5.8,4.3,4.05263,3.31579,-0.73684,5.08333,18,18,0,1,1
18,Woman,19,3.5,4.9,1.4,3.73684,4.05263,0.31579,2.91667,11,25,-14,1,0
19,Woman,19,3,2,-1,4.10526,5,0.89474,4.66667,24,24,0,1,0
20,Woman,19,2.333333333,3.3,0.966666667,4.68421,4.57895,-0.10526,3.91667,24,15,9,1,0
21,Woman,20,1.8,3.7,1.9,4.52632,3.89474,-0.63158,3.91667,15,21,-6,1,0
22,Woman,21,1.7,5.2,3.5,3.89474,3.05263,-0.84211,3.33333,16,20,-4,1,0
23,Woman,22,1.8,2.5,0.7,3.89474,3.78947,-0.10527,4.25,13,12,1,1,1
24,Man,19,3,1.5,-1.5,3.84211,4.15789,0.31578,4.5,24,13,11,1,1
25,Man,21,1.3,2.7,1.4,4.78947,4.15789,-0.63158,4.5,15,21,-6,1,5
26,Woman,21,5.8,5.7,-0.1,3.05263,2.68421,-0.36842,3,13,21,-8,1,0
27,Woman,18,2.7,2.6,-0.1,5.21053,3.21053,-2,6.25,24,24,0,1,0
28,Woman,27,3.6,4.2,0.6,2.31579,2.68421,0.36842,3.25,21,19,2,1,4
29,Woman,21,4.4,5.3,0.9,2.57895,3.31579,0.73684,4.5,11,24,-13,1,0
